id,title_de_CH,title_fr_CH,title_it_CH,title_rm_CH,short_title_de_CH,short_title_fr_CH,short_title_it_CH,short_title_rm_CH,date,shortcode,domain,status,answer,type,ballot_answer,district,name,entity_id,counted,yeas,nays,invalid,empty,eligible_voters,expats
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,See-Gaster,Amden,3311,True,368,251,0,4,1408,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,See-Gaster,Benken (SG),3312,True,426,349,0,3,2050,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,See-Gaster,Kaltbrunn,3313,True,711,592,0,8,3244,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,See-Gaster,Schänis,3315,True,527,658,1,8,2735,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,See-Gaster,Weesen,3316,True,359,231,3,3,1327,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,See-Gaster,Schmerikon,3338,True,704,358,0,3,2496,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,See-Gaster,Uznach,3339,True,1078,535,0,9,3942,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,See-Gaster,Rapperswil-Jona,3340,True,6044,2501,4,89,18973,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,See-Gaster,Gommiswald,3341,True,971,771,0,10,3983,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,See-Gaster,Eschenbach (SG),3342,True,1647,1194,2,21,6738,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Toggenburg,Ebnat-Kappel,3352,True,888,632,1,15,3496,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Toggenburg,Wildhaus-Alt St. Johann,3359,True,508,319,1,2,1788,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Toggenburg,Nesslau,3360,True,658,489,0,7,2799,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Toggenburg,Lichtensteig,3374,True,375,203,0,4,1394,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Toggenburg,Wattwil,3379,True,1358,980,0,10,5548,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Toggenburg,Kirchberg (SG),3392,True,1347,944,0,15,5394,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Toggenburg,Lütisburg,3393,True,227,199,0,3,1028,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Toggenburg,Mosnang,3394,True,502,386,0,8,2135,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Toggenburg,Bütschwil-Ganterschwil,3395,True,729,662,0,4,3463,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Toggenburg,Neckertal,3396,True,1001,863,1,7,4502,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Wil,Degersheim,3401,True,756,369,0,10,2586,
bundesgesetz-ueber-eine-sichere-stromversorgung-mit-erneuerbaren-energien-anderung-des-energiegesetzes-und-des-stromversorgungsgesetzes,Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien (Änderung des Energiegesetzes und des Stromversorgungsgesetzes),,,,,,,,2024-06-09,EV-4,federation,final,accepted,proposal,accepted,Wil,Flawil,3402,True,1680,742,0,13,6004,
